Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
46107,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148494,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,10-Nov-25,ARVIND KUMAR PANDEY,Payment Success,496033
46108,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148467,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,09-Jun-25,ARVIND KUMAR PANDEY,Payment Success,550986
46109,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148468,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,09-Jun-25,ARVIND KUMAR PANDEY,Payment Success,560729
46110,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148484,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,04-Jul-25,ARVIND KUMAR PANDEY,Payment Success,560203
46111,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148492,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,04-Oct-25,ARVIND KUMAR PANDEY,Payment Success,517383
46112,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148490,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,04-Oct-25,ARVIND KUMAR PANDEY,Payment Success,511712
46113,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148469,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,04-Jul-25,ARVIND KUMAR PANDEY,Payment Success,555841
46114,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148474,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,14-Jul-25,ARVIND KUMAR PANDEY,Payment Success,514291
46115,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148484,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,11-May-26,ARVIND KUMAR PANDEY,Payment Success,178730
46116,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/215325,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,443780
46117,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148469,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,25-Feb-26,ARVIND KUMAR PANDEY,Payment Success,191019
46118,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148467,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,25-Feb-26,ARVIND KUMAR PANDEY,Payment Success,195749
46119,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148468,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,08-Jan-26,ARVIND KUMAR PANDEY,Payment Success,186893
46120,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148491,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,01-Jul-26,ARVIND KUMAR PANDEY,Payment Success,162475
46121,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148492,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,08-Jul-26,ARVIND KUMAR PANDEY,Payment Success,152522
46122,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148490,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,08-Jul-26,ARVIND KUMAR PANDEY,Payment Success,158963
46123,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147030,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,15-Mar-25,Construction of Bus Shed at Tukura Bormohan,Payment Success,150000
46124,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147030,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,09-Sep-25,Construction of Bus Shed at Tukura Bormohan,Payment Success,100000
46125,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147032,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,19-Sep-25,Construction of Bus Shed near Rongsai Salpara LP School at Badhapur,Payment Success,100000
46126,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147032,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,15-Mar-25,Construction of Bus Shed near Rongsai Salpara LP School at Badhapur,Payment Success,150000
46127,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147026,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,15-Mar-25,Construction of Bus Shed near Arunjyoti Sangha Selapara,Payment Success,150000
46128,Assam,Construction of bus-sheds or bus-stops,WS/MP18023/2024-2025/147026,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,09-Sep-25,Construction of Bus Shed near Arunjyoti Sangha Selapara,Payment Success,100000
46129,Assam,Construction of additional rooms and halls in the existing public and community building,WS/MP18023/2024-2025/147018,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,08-Oct-25,Construction of Additional Room at Bardamal Community Hall near Lakhi Mandir,Payment Success,120000
46130,Assam,Construction of additional rooms and halls in the existing public and community building,WS/MP18023/2024-2025/147018,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,15-Mar-25,Construction of Additional Room at Bardamal Community Hall near Lakhi Mandir,Payment Success,180000
46131,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18023/2024-2025/146998,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,15-Mar-25,Construction of Boundary Wall at Badungduppa Kala Kendra,Payment Success,210000
46132,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18023/2024-2025/146998,GOALPARA(Deputy Commissioner Goalpara_IDA),BIJULI KALITA MEDHI,GUWAHATI,08-Oct-25,Construction of Boundary Wall at Badungduppa Kala Kendra,Payment Success,140000
46133,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2026-2027/288907,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,06-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46134,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2026-2027/282978,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,06-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46135,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2026-2027/282977,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,06-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,118216
46136,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2026-2027/289178,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,06-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46137,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2026-2027/288908,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,06-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46138,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2024-2025/155207,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,15-Mar-25,Sri Bhagiratha Sagara Sangam,Payment Success,499021
46139,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/155206,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,28-May-25,Sri Bhagiratha Sagara Sangam,Payment Success,498630
46140,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/184514,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,07-Aug-25,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46141,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/184516,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,07-Aug-25,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46142,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/184517,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,07-Aug-25,Sri Bhagiratha Sagara Sangam,Payment Success,125000
46143,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/204131,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,21-Aug-26,Sri Bhagiratha Sagara Sangam,Payment Success,499924
46144,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/184512,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,18-Apr-26,Sri Bhagiratha Sagara Sangam,Payment Success,118205
46145,Telangana,Installing tube-wells and borewells,WS/MP18188/2025-2026/182148,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,10-Dec-25,Sri Bhagiratha Sagara Sangam,Payment Success,193557
46146,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18251/2024-2025/156585,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),SAYANI GHOSH,JADAVPUR,26-May-25,PRITHWISH ENTERPRISE,Payment Success,298251
46147,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2024-2025/138585,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,10-Mar-25,SIDHESWARI CONSTRUCTION,Payment Success,199530
46148,Rajasthan,Construction of public toilets and bathrooms,WS/MP18313/2024-2025/146374,DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA),RAJ KUMAR ROAT,BANSWARA(ST),02-Jan-26,Kutubuddin Fakharuddin Ezzy kuaa,Payment Success,150070
46149,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP640/2024-2025/165551,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Faggan Singh Kulaste,MANDLA(ST),12-Mar-25,GRAM PANCHAYAT SURAJGAO,Payment Success,75000
46150,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18251/2024-2025/156599,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),SAYANI GHOSH,JADAVPUR,26-May-25,MOHAN SHAW,Payment Success,297653
46151,Jammu And Kashmir,Construction of common work sheds/ common covered sitting area,WS/MP600/2024-2025/155281,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,10-Mar-25,JAESH SINGH,Payment Success,431000
46152,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP578/2025-2026/232427,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,27-Jan-26,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,300000
46153,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP578/2025-2026/198186,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,17-Oct-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,400000
46154,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156638",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,10-Mar-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,300000
46155,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156642",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,10-Mar-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,300000
46156,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156639",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,10-Mar-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,299462
46157,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156643",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,21-Mar-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,496648
46158,Gujarat,Installing tube-wells and borewells,"WS/	 MP578/2024-2025/156640",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,22-Apr-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,149205
46159,Gujarat,Installing tube-wells and borewells,"WS/	 MP578/2024-2025/156641",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,22-Apr-25,DHOLEKHAM GROUP GRAM PANCHAYAT,Payment Success,149672
46160,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18251/2024-2025/156596,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),SAYANI GHOSH,JADAVPUR,22-May-25,SABITA ENTERPRISE,Payment Success,299463
46161,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP598/2024-2025/145394,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Suresh Kumar Kashyap,SHIMLA (SC),16-Dec-25,GPDhagali,Payment Success,150000
46162,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP598/2024-2025/145394,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Suresh Kumar Kashyap,SHIMLA (SC),10-Mar-25,GPDhagali,Payment Success,150000
46163,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18251/2024-2025/156591,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),SAYANI GHOSH,JADAVPUR,22-May-25,TARAK KUNDU,Payment Success,297621
46164,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18251/2024-2025/156593,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),SAYANI GHOSH,JADAVPUR,22-May-25,PROJECT AND MAINTENANCE,Payment Success,297461
46165,Assam,Street lights,WS/MP541/2025-2026/162666,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,29-Jul-25,AB Ventures,Payment Success,130000
46166,Assam,Street lights,WS/MP541/2025-2026/162666,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,01-Jan-26,AB Ventures,Payment Success,130000
46167,Assam,Street lights,WS/MP541/2025-2026/162668,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,27-Jun-25,AB Ventures,Payment Success,207991
46168,Assam,Street lights,WS/MP541/2025-2026/153674,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,16-Dec-25,AB Ventures,Payment Success,182000
46169,Assam,Street lights,WS/MP541/2025-2026/162630,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,25-Nov-25,AB Ventures,Payment Success,182000
46170,Assam,Security gates in streets/public place for safety purpose,WS/MP541/2025-2026/163393,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,27-Nov-25,AB Ventures,Payment Success,390000
46171,Assam,Security gates in streets/public place for safety purpose,WS/MP541/2025-2026/163393,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,26-Jun-26,AB Ventures,Payment Success,130000
46172,Assam,Street lights,WS/MP541/2025-2026/162630,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,31-Jul-26,AB Ventures,Payment Success,77963
46173,Assam,Street lights,WS/MP541/2025-2026/153674,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,31-Jul-26,AB Ventures,Payment Success,77963
46174,Assam,Street lights,WS/MP541/2024-2025/172421,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,28-Jan-26,AB Ventures,Payment Success,78000
46175,Assam,Street lights,WS/MP541/2024-2025/172423,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,28-Jan-26,AB Ventures,Payment Success,91000
46176,Assam,Street lights,WS/MP541/2025-2026/172419,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,18-Jun-26,AB Ventures,Payment Success,78000
46177,Assam,Street lights,WS/MP541/2025-2026/162631,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,17-Sep-25,AB Ventures,Payment Success,78000
46178,Assam,Street lights,WS/MP541/2024-2025/172423,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,04-Aug-25,AB Ventures,Payment Success,182000
46179,Assam,Street lights,WS/MP541/2024-2025/172421,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,04-Aug-25,AB Ventures,Payment Success,156000
46180,Assam,Street lights,WS/MP541/2024-2025/172423,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,19-Jul-25,AB Ventures,Payment Success,91000
46181,Assam,Street lights,WS/MP541/2024-2025/172421,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,19-Jul-25,AB Ventures,Payment Success,78000
46182,Assam,Street lights,WS/MP541/2025-2026/162631,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,19-Jul-25,AB Ventures,Payment Success,39000
46183,Assam,Street lights,WS/MP541/2025-2026/172419,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,19-Jul-25,AB Ventures,Payment Success,78000
46184,Assam,Street lights,WS/MP541/2025-2026/172419,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,04-Aug-25,AB Ventures,Payment Success,156000
46185,Assam,Security gates in streets/public place for safety purpose,WS/MP541/2026-2027/162632,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,18-Jun-26,AB Ventures,Payment Success,78000
46186,Assam,Security gates in streets/public place for safety purpose,WS/MP541/2026-2027/162632,MARIGAON(District Development Commissioner Morigaon),Pradyut Bordoloi,NOWGONG,18-Jun-26,AB Ventures,Payment Success,39000
46187,West Bengal,Street lights,WS/MP18353/2024-2025/156738,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),RACHNA BANERJEE,HOOGHLY,26-Mar-25,ARUN ELECTRIC,Payment Success,283442
46188,Chhattisgarh,Construction of buildings for community cultural activities,WS/MP18049/2025-2026/152163,BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA),TOKHAN SAHU,BILASPUR,28-Jul-26,SHANTI CONSTRCTION,Payment Success,185793
46189,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2024-2025/145279,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,12-Mar-25,MS RUDRA CONSTRUCTION,Payment Success,746801
46190,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2024-2025/145271,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,25-Mar-25,MS RUDRA CONSTRUCTION,Payment Success,1434338
46191,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2024-2025/145272,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,26-Mar-25,MS RUDRA CONSTRUCTION,Payment Success,901514
46192,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2024-2025/160142,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,24-Mar-25,MS RUDRA CONSTRUCTION,Payment Success,1816399
46193,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2024-2025/145273,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,25-Mar-25,MS RUDRA CONSTRUCTION,Payment Success,1211548
46194,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2025-2026/225521,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,15-Dec-25,MS RUDRA CONSTRUCTION,Payment Success,1199831
46195,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18241/2025-2026/225518,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,15-Dec-25,MS RUDRA CONSTRUCTION,Payment Success,1318223
